0.27749999999999997,FMNH 195071
0.27749999999999997,EOLID:3020392
0.27749999999999997,AND GOIN 611
0.27749999999999997,EOLID:92968
0.27749999999999997,EOLID:23673
0.27749999999999997,EOLID:11113871
0.27749999999999997,AMNH 6279
0.27749999999999997,MCZ 100144
0.27749999999999997,AMNH 66753
0.27749999999999997,EOLID:4614824
0.27749999999999997,LUTIANUS LWEOLATUS 2
0.27749999999999997,EOLID:104672
0.27749999999999997,EOLID:50814
0.27749999999999997,MELANURA .
0.27749999999999997,ZFMK 26126
0.27749999999999997,FMNH 338808
0.27749999999999997,EOLID:4780330
0.27749999999999997,USNM 82696
0.27749999999999997,FMNH PR 2100
0.27749999999999997,AMNH 5777
0.27749999999999997,EOLID:35940
0.27749999999999997,EOLID:225862
0.27749999999999997,FMNH 129804
0.27749999999999997,EOLID:35457
0.27749999999999997,AMNH LIBRARY 100100024
0.27749999999999997,MCZ 100118
0.27749999999999997,EOLID:11040954
0.27749999999999997,AMNH 3861
0.27749999999999997,USNM PAL 57499
0.27749999999999997,USNM 501824
0.27749999999999997,JJJ 6
0.27749999999999997,USNM 482355
0.27749999999999997,MCZ 214
0.27749999999999997,USNM 159928
0.27749999999999997,EOLID:55106
0.27749999999999997,EOLID:988306
0.27749999999999997,EOLID:58141
0.27749999999999997,EOLID:6837494
0.27749999999999997,EOLID:92718
0.27749999999999997,AMNH LIBRARY 00206052
0.27749999999999997,MCZ 32372
0.27749999999999997,EOLID:53288
0.27749999999999997,MCZ 17421
0.27749999999999997,CRINIGER 3
0.27749999999999997,EOLID:16811
0.27749999999999997,EOLID:11030474
0.27749999999999997,EOLID:34446
0.27749999999999997,EOLID:71049
0.27749999999999997,EOLID:4758743
0.27749999999999997,MCZ 1160
0.27749999999999997,AMNH 3016
0.27749999999999997,EOLID:206805
0.27749999999999997,EOLID:92671
0.27749999999999997,EOLID:15824
0.27749999999999997,MCZ 8812
0.27749999999999997,EOLID:3742081
0.27749999999999997,EOLID:18133
0.27749999999999997,EOLID:220236
0.27749999999999997,USNM 584472
0.27749999999999997,EOLID:331125
0.27749999999999997,USNM 164262
